model,term,coefficient,coefficient_ci95_low,coefficient_ci95_high,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high,n_observations,n_product_clusters,bootstrap_success,bootstrap_failed_or_separated,interpretation,source_file,source_locator
all_class,const,0.19548858359780902,-0.05807251942278628,0.45974094441285973,1.2159049125834258,0.9435815169685972,1.5836636749270778,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=const
all_class,delta_fragment_count,0.010953042780726046,-0.18486618274707417,0.20433223869889888,1.0110132469593436,0.8312155073859335,1.2267056448476334,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=delta_fragment_count
all_class,delta_heavy_atom_ratio,-0.16227142206261502,-0.4450729328965872,0.06412902141385168,0.8502104073575045,0.6407775405659615,1.0662299563838387,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=delta_heavy_atom_ratio
all_class,delta_tanimoto_to_product,-0.1733214109802489,-0.3752914778817274,-0.021316074531265165,0.8408673074215257,0.6870889783608469,0.978909507302584,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=delta_tanimoto_to_product
all_class,delta_ring_count_vs_product,0.16377573533030068,-0.04417478448291763,0.4378630036036544,1.1779501128752317,0.9567867113868499,1.549392631672271,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=delta_ring_count_vs_product
all_class,delta_rotatable_bonds,0.02110549579719402,-0.2271956877550587,0.25407121862076276,1.0213297919549538,0.7967648499088201,1.2892636205751071,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=delta_rotatable_bonds
all_class,class_2,-0.021539670096818737,-0.4792942281464115,0.4196865625456333,0.9786906519461283,0.6192202658561152,1.5214845906162497,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_2
all_class,class_3,0.609071108631202,0.12638438736900034,1.1160641633929114,1.8387226316928102,1.134718255829298,3.052815145348005,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_3
all_class,class_4,-0.20462235582903163,-1.444513713503748,0.946185216608662,0.8149550213196779,0.23586074456793027,2.575864527514636,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_4
all_class,class_5,0.3715771787996661,-0.9371037982139089,2.162033784362451,1.4500197525669536,0.3917608122659054,8.688790827923027,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_5
all_class,class_6,0.15413346513262782,-0.2410098789830711,0.5469989018181032,1.1666465830291317,0.7858338631105686,1.7280591529342606,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_6
all_class,class_7,-0.08081440787995081,-0.5588210641700355,0.4043318733120363,0.9223648592101021,0.5718828797954237,1.4983011106079074,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_7
all_class,class_8,-0.19487869355272755,-1.3087591087697172,0.9960716376375803,0.8229344792594352,0.27015508154831314,2.7076243793002583,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_8
all_class,class_9,-1.0165864396059339,-1.9372733522729106,-0.2779149052255774,0.3618279560689688,0.14409631450284127,0.7573612662584499,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_9
all_class,class_10,-0.16847966966293518,-21.631303187166996,21.274931177684106,0.844948441330934,4.0331501388106165e-10,1736141879.528633,834,834,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=all_class;term=class_10
class3_flexibility,const,0.8170592908085255,0.4369144784076093,1.2896522848501843,2.2638327655554624,1.5479236904965554,3.631523600418404,109,109,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=class3_flexibility;term=const
class3_flexibility,delta_rotatable_bonds,0.3758722270135081,-0.09719701562404508,1.3213684470521838,1.4562610510595615,0.9073772210326758,3.7485475578630636,109,109,10000,0,descriptive and post hoc; conditional on reactions with changed mean reference rank,outputs/jcheminform_revision/final_statistics_20seed/h2_logistic_models.csv,row:model=class3_flexibility;term=delta_rotatable_bonds
