workstream,analysis_id,protocol_id,claim_role,comparison,scope,metric,effect,ci95_low,ci95_high,p_value,q_value,n_seeds,n_reactions,n_product_clusters,positive_seed_count,negative_seed_count,zero_seed_count,decision,source_file,source_locator
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,permuted_unimol_minus_prior_2d,within_pool,top1,-0.001806775407779182,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=permuted_unimol;column=top1_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,permuted_unimol_minus_prior_2d,within_pool,mrr,-0.0011834259425226312,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=permuted_unimol;column=mrr_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_atom_minus_prior_2d,within_pool,top1,0.003061480552070339,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_atom;column=top1_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_atom_minus_prior_2d,within_pool,mrr,0.0017986895301825845,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_atom;column=mrr_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_distance_minus_prior_2d,within_pool,top1,0.0015558343789209284,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_distance;column=top1_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_distance_minus_prior_2d,within_pool,mrr,0.0013082193144928755,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_distance;column=mrr_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_cosine_minus_prior_2d,within_pool,top1,0.0012547051442910462,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_cosine;column=top1_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_cosine_minus_prior_2d,within_pool,mrr,0.0014162434526298062,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_cosine;column=mrr_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_all_minus_prior_2d,within_pool,top1,0.007227101631116617,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_all;column=top1_delta_vs_2d
legacy,legacy-feature-controls,legacy-cap10-fixed50-v1,legacy_sensitivity,unimol_all_minus_prior_2d,within_pool,mrr,0.004683694807910643,,,,,5,3985,,,,,legacy_descriptive_point_estimate,outputs/revision_analysis/table5_feature_controls.csv,row:variant=unimol_all;column=mrr_delta_vs_2d
