workstream,analysis_id,protocol_id,claim_role,scope,system,metric,estimate,sample_sd,n_seeds,n_reactions,coverage,source_file,source_locator
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,within_pool,baseline,top1,0.7415307402760352,0.0,0,3985,,outputs/revision_analysis/table2_main_results.csv,row:scope=within_pool;system=baseline;metric=top1
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,end_to_end,baseline,top1,0.5905275779376499,0.0,0,5004,,outputs/revision_analysis/table2_main_results.csv,row:scope=end_to_end;system=baseline;metric=top1
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,within_pool,2d,top1,0.7493099121706399,0.0012547051442911128,5,3985,,outputs/revision_analysis/table2_main_results.csv,row:scope=within_pool;system=2d;metric=top1
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,end_to_end,2d,top1,0.596722621902478,0.0009992006394884262,5,5004,,outputs/revision_analysis/table2_main_results.csv,row:scope=end_to_end;system=2d;metric=top1
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,within_pool,3d,top1,0.7565370138017565,0.0017955878363862911,5,3985,,outputs/revision_analysis/table2_main_results.csv,row:scope=within_pool;system=3d;metric=top1
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,end_to_end,3d,top1,0.6024780175859312,0.0014299395539567087,5,5004,,outputs/revision_analysis/table2_main_results.csv,row:scope=end_to_end;system=3d;metric=top1
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,within_pool,baseline,mrr,0.8395585628647109,0.0,0,3985,,outputs/revision_analysis/table2_main_results.csv,row:scope=within_pool;system=baseline;metric=mrr
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,end_to_end,baseline,mrr,0.668593299963204,0.0,0,5004,,outputs/revision_analysis/table2_main_results.csv,row:scope=end_to_end;system=baseline;metric=mrr
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,within_pool,2d,mrr,0.8443555993706559,0.0007341845073514035,5,3985,,outputs/revision_analysis/table2_main_results.csv,row:scope=within_pool;system=2d;metric=mrr
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,end_to_end,2d,mrr,0.6724134819128824,0.0005846773105106601,5,5004,,outputs/revision_analysis/table2_main_results.csv,row:scope=end_to_end;system=2d;metric=mrr
legacy,legacy-cap10-fixed50,legacy-cap10-fixed50-v1,legacy_sensitivity,within_pool,3d,mrr,0.8490392941785665,0.0010147927255091313,5,3985,,outputs/revision_analysis/table2_main_results.csv,row:scope=within_pool;system=3d;metric=mrr
