pool,system,within_pool_top1,end_to_end_top1
historical_cap10,candidate_prior,0.7415307402760352,0.5905275779376499
historical_cap10,prior_2d,0.7516436637390214,0.5985811350919265
historical_cap10,prior_2d_unimol,0.7583437892095357,0.6039168665067945
aizynthfinder_only,candidate_prior,0.7365403788634097,0.5905275779376499
aizynthfinder_only,prior_2d,0.7402043868394815,0.5934652278177458
aizynthfinder_only,prior_2d_unimol,0.7404287138584247,0.5936450839328538
localretro_only,candidate_prior,0.5777678171223667,0.5151878497202238
localretro_only,prior_2d,0.5777341999103541,0.5151578737010392
localretro_only,prior_2d_unimol,0.577622142536979,0.5150579536370904
merged,candidate_prior,0.612783595113438,0.5613509192645884
merged,prior_2d,0.6410994764397906,0.5872901678657074
merged,prior_2d_unimol,0.637510907504363,0.5840027977617905
