candidate_count_bin,metric,n_reactions,n_product_clusters,effect,ci95_low,ci95_high
1,top1,90,90,0.0,0.0,0.0
1,mrr,90,90,0.0,0.0,0.0
2-3,top1,174,174,0.005459770114942529,-0.0037428160919540173,0.01867816091954023
2-3,mrr,174,174,0.0027298850574712643,-0.002011494252873563,0.009482758620689657
4-6,top1,494,494,0.016295546558704455,0.003441295546558705,0.030161943319838055
4-6,mrr,494,494,0.009591767881241565,0.0028188259109311743,0.01699059547908232
7-9,top1,2160,2160,0.0026388888888888894,-0.003681134259259259,0.008981481481481481
7-9,mrr,2160,2160,0.00319877094356261,-0.0003967277979864788,0.00676777584876543
10,top1,1067,1067,0.011246485473289597,-0.0021567478912839734,0.0249777413308341
10,mrr,1067,1067,0.006738277472813556,-0.0005218328349771658,0.014267761841537612
