reaction_id,canonical_product,candidate_count,candidate_count_bin,mean_20seed_delta_top1,mean_20seed_delta_mrr
45033,COC(=O)CCC(=O)c1ccc(OC2CCCCO2)cc1O,9,7-9,0.0,0.0
45034,COC(=O)c1cccc(-c2nc3cccnc3[nH]2)c1,9,7-9,0.0,0.0
45035,CON(C)C(=O)C1CCC(NC(=O)OC(C)(C)C)CC1,10,10,0.0,0.0
45036,O=[N+]([O-])c1ccc(Cl)nc1Nc1ccc(O)cc1,9,7-9,0.0,0.0
45037,NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,7,7-9,0.0,0.0
45038,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)O)C1,9,7-9,0.0,0.0
45039,Cc1noc(C)c1NC(=O)Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,1,1,0.0,0.0
45040,Cc1cnc(N2CCN(C(=O)c3ccc(N4CCCS4(=O)=O)nc3C)CC2)c(C)c1,9,7-9,0.0,0.0
45041,C#CCCCCC(C)(C)c1cc(OC)cc(OC)c1,7,7-9,0.0,0.0
45042,CCOC(=O)c1cn(C)c2c(C)c(C=O)sc2c1=O,9,7-9,0.0,0.0
45043,CC(C)n1cnnc1-c1nc2c(s1)CCOc1cc(CNCCO)ccc1-2,9,7-9,0.0,0.0
45044,CCOC(=O)Cn1c(C)cc2c1CCC2,2,2-3,0.0,0.0
45046,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(COS(C)(=O)=O)ccc2F)CC1,5,4-6,0.0,0.0
45047,CCCC(=O)c1cnc2c(C)cccc2c1Nc1ccccc1OC,6,4-6,0.0,0.0
45048,COc1ccc(CN2CCc3nc(NC(=O)N[C@H](C)c4ccccc4)cc4c3c2nn4C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,8,7-9,0.0,0.0
45050,CSc1cc(-n2nc(C)cc2Nc2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)ncn1,7,7-9,0.0,0.0
45051,Nc1nccc(Oc2cc(F)ccc2F)c1I,8,7-9,0.0,0.0
45052,N#CC[C@H](O)c1ccccc1,10,10,0.0,0.0
45055,Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)O)c(=O)n(C)c(=O)n2CC(C)C,8,7-9,0.0,0.0
45056,Oc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,10,10,0.0,0.0
45057,Cc1ccccc1-c1ccc2nc(NC(=O)C(C)(C)C)ccc2c1,10,10,0.0,0.0
