pool,feature,metric,n_reactions,spearman_rho
historical_cap10,candidate_count,mean_20seed_delta_top1,3814,-0.007531907796159046
historical_cap10,candidate_count,mean_20seed_delta_mrr,3814,0.0035396088354058036
historical_cap10,jaccard_vs_historical,mean_20seed_delta_top1,3814,
historical_cap10,jaccard_vs_historical,mean_20seed_delta_mrr,3814,
historical_cap10,shared_candidate_count,mean_20seed_delta_top1,3814,-0.007531907796159046
historical_cap10,shared_candidate_count,mean_20seed_delta_mrr,3814,0.0035396088354058036
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_top1,3727,-0.0049173405803936395
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_mrr,3727,-0.009311506769425916
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,3727,0.037973894331805085
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,3727,0.07268069474492729
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_top1,3727,-0.011619538430170358
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,3727,-0.00671670770402224
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,3727,0.011809881705851245
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,3727,0.0029529963620465558
aizynthfinder_only,candidate_count,mean_20seed_delta_top1,3814,-0.0027608997964759852
aizynthfinder_only,candidate_count,mean_20seed_delta_mrr,3814,0.010370514376393589
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_top1,3814,0.013561045747497773
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_mrr,3814,0.01882962970364334
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_top1,3814,0.00937067342539335
aizynthfinder_only,shared_candidate_count,mean_20seed_delta_mrr,3814,0.02550166508009977
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_top1,3727,0.008939698462348745
aizynthfinder_only,kendall_order_vs_historical,mean_20seed_delta_mrr,3727,-0.017806977209281396
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,3727,-0.0077081006435590765
aizynthfinder_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,3727,0.04554216470141166
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,3727,-0.025523032503083277
aizynthfinder_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,3727,0.002143737696868059
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,3727,0.02481429787928063
aizynthfinder_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,3727,0.0061422188163735405
localretro_only,candidate_count,mean_20seed_delta_top1,3814,-0.00047938576452102107
localretro_only,candidate_count,mean_20seed_delta_mrr,3814,-0.02788307376560091
localretro_only,jaccard_vs_historical,mean_20seed_delta_top1,3814,-0.013187174438960026
localretro_only,jaccard_vs_historical,mean_20seed_delta_mrr,3814,-0.005923951062098403
localretro_only,shared_candidate_count,mean_20seed_delta_top1,3814,-0.01065721072721399
localretro_only,shared_candidate_count,mean_20seed_delta_mrr,3814,5.135347610146689e-05
localretro_only,kendall_order_vs_historical,mean_20seed_delta_top1,3501,-0.012508476339832913
localretro_only,kendall_order_vs_historical,mean_20seed_delta_mrr,3501,0.016545062197454344
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,3814,-0.015199240480188735
localretro_only,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,3814,-0.026182171070100457
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_top1,3814,0.007511698460212918
localretro_only,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,3814,0.0018087689589406457
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,3814,0.015093719068765731
localretro_only,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,3814,0.005732821557302297
merged,candidate_count,mean_20seed_delta_top1,3814,-0.0009888031005415756
merged,candidate_count,mean_20seed_delta_mrr,3814,-0.0011078156645685758
merged,jaccard_vs_historical,mean_20seed_delta_top1,3814,0.014403259357295879
merged,jaccard_vs_historical,mean_20seed_delta_mrr,3814,0.01833153891230883
merged,shared_candidate_count,mean_20seed_delta_top1,3814,0.01809418640425053
merged,shared_candidate_count,mean_20seed_delta_mrr,3814,0.016802005613149037
merged,kendall_order_vs_historical,mean_20seed_delta_top1,3586,0.014151048581098398
merged,kendall_order_vs_historical,mean_20seed_delta_mrr,3586,0.019043586234402315
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,3814,0.02626907280452996
merged,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,3814,0.02239202976657027
merged,mean_pairwise_morgan_distance,mean_20seed_delta_top1,3814,0.019639081422326978
merged,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,3814,0.018265839982055304
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,3814,0.006362151530568516
merged,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,3814,0.01776778464664374
