pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
historical_cap10,candidate_count,mean_20seed_delta_top1,Q1,733,1.0,6.0,0.01227830832196453
historical_cap10,candidate_count,mean_20seed_delta_top1,Q2,1279,7.0,8.0,0.005785770132916341
historical_cap10,candidate_count,mean_20seed_delta_top1,Q3,797,9.0,9.0,0.00031367628607277233
historical_cap10,candidate_count,mean_20seed_delta_top1,Q4,1005,10.0,10.0,0.010149253731343283
historical_cap10,candidate_count,mean_20seed_delta_mrr,Q1,733,1.0,6.0,0.007112323783537971
historical_cap10,candidate_count,mean_20seed_delta_mrr,Q2,1279,7.0,8.0,0.0051521836256003565
historical_cap10,candidate_count,mean_20seed_delta_mrr,Q3,797,9.0,9.0,0.0019514897134094117
historical_cap10,candidate_count,mean_20seed_delta_mrr,Q4,1005,10.0,10.0,0.0066003316749585405
historical_cap10,shared_candidate_count,mean_20seed_delta_top1,Q1,733,1.0,6.0,0.01227830832196453
historical_cap10,shared_candidate_count,mean_20seed_delta_top1,Q2,1279,7.0,8.0,0.005785770132916341
historical_cap10,shared_candidate_count,mean_20seed_delta_top1,Q3,797,9.0,9.0,0.00031367628607277233
historical_cap10,shared_candidate_count,mean_20seed_delta_top1,Q4,1005,10.0,10.0,0.010149253731343283
historical_cap10,shared_candidate_count,mean_20seed_delta_mrr,Q1,733,1.0,6.0,0.007112323783537971
historical_cap10,shared_candidate_count,mean_20seed_delta_mrr,Q2,1279,7.0,8.0,0.0051521836256003565
historical_cap10,shared_candidate_count,mean_20seed_delta_mrr,Q3,797,9.0,9.0,0.0019514897134094117
historical_cap10,shared_candidate_count,mean_20seed_delta_mrr,Q4,1005,10.0,10.0,0.0066003316749585405
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_top1,Q1,762,0.9999999999999998,0.9999999999999998,0.005511811023622046
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_top1,Q2,1386,0.9999999999999999,0.9999999999999999,0.011147186147186147
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_top1,Q4,1579,1.0,1.0,0.0045598480050664985
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_mrr,Q1,762,0.9999999999999998,0.9999999999999998,0.005546650418697662
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_mrr,Q2,1386,0.9999999999999999,0.9999999999999999,0.007092352092352093
historical_cap10,kendall_order_vs_historical,mean_20seed_delta_mrr,Q4,1579,1.0,1.0,0.003758770871658775
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q1,931,0.0013854413693088377,0.16661915946068281,0.0005370569280343716
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q2,932,0.16731531981067915,0.3853450411974471,0.0023068669527897
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q3,932,0.3855694960406089,0.5787890864645483,0.011319742489270384
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_top1,Q4,932,0.578889287596341,1.0,0.014645922746781118
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q1,931,0.0013854413693088377,0.16661915946068281,0.0002014176597957479
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q2,932,0.16731531981067915,0.3853450411974471,0.0009020326657129235
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q3,932,0.3855694960406089,0.5787890864645483,0.008086743817698753
historical_cap10,normalized_stored_prior_mass_entropy,mean_20seed_delta_mrr,Q4,932,0.578889287596341,1.0,0.012260286804278219
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q1,931,0.1132075471698113,0.39259023997772097,0.013641245972073038
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q2,932,0.39261152797915877,0.4566133071726776,0.006384120171673819
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q3,932,0.45668040335988624,0.5280488062923182,0.0059012875536480665
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_top1,Q4,932,0.5282059464729515,0.8156400802328242,0.0028969957081545067
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q1,931,0.1132075471698113,0.39259023997772097,0.008858626157229809
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q2,932,0.39261152797915877,0.4566133071726776,0.006154987567272976
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q3,932,0.45668040335988624,0.5280488062923182,0.0037565782750868582
historical_cap10,mean_pairwise_morgan_distance,mean_20seed_delta_mrr,Q4,932,0.5282059464729515,0.8156400802328242,0.0026895777982151375
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q1,928,0.15151515151515152,0.6329113924050633,0.00016163793103448268
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q2,934,0.6333333333333333,0.765625,0.005513918629550321
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q3,937,0.7659574468085106,0.8360655737704918,0.01504802561366062
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_top1,Q4,928,0.8363636363636363,1.0,0.00802801724137931
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q1,928,0.15151515151515152,0.6329113924050633,0.0020827132936507937
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q2,934,0.6333333333333333,0.765625,0.004398303932565175
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q3,937,0.7659574468085106,0.8360655737704918,0.008575113076180313
historical_cap10,max_nonreference_similarity_to_truth,mean_20seed_delta_mrr,Q4,928,0.8363636363636363,1.0,0.006374991447728517
aizynthfinder_only,candidate_count,mean_20seed_delta_top1,Q1,913,1.0,9.0,0.0001642935377875137
aizynthfinder_only,candidate_count,mean_20seed_delta_top1,Q3,2901,10.0,10.0,-0.00013788348845225802
aizynthfinder_only,candidate_count,mean_20seed_delta_mrr,Q1,913,1.0,9.0,0.000479450268606895
aizynthfinder_only,candidate_count,mean_20seed_delta_mrr,Q3,2901,10.0,10.0,0.000615045167785602
aizynthfinder_only,jaccard_vs_historical,mean_20seed_delta_top1,Q1,1259,0.375,0.8,-0.00210484511517077
