pool,feature,metric,quartile,n_reactions,feature_min,feature_max,mean_effect
aizynthfinder_only,candidate_count_shift_vs_historical,transfer_delta_top1,Q1,1745,0.0,0.0,-0.008911174785100288
aizynthfinder_only,candidate_count_shift_vs_historical,transfer_delta_top1,Q3,811,1.0,1.0,0.0005548705302096175
aizynthfinder_only,candidate_count_shift_vs_historical,transfer_delta_top1,Q4,1258,2.0,6.0,-0.009538950715421303
aizynthfinder_only,candidate_count_shift_vs_historical,transfer_delta_mrr,Q1,1745,0.0,0.0,-0.005366784918360849
aizynthfinder_only,candidate_count_shift_vs_historical,transfer_delta_mrr,Q3,811,1.0,1.0,-0.001441415653807762
aizynthfinder_only,candidate_count_shift_vs_historical,transfer_delta_mrr,Q4,1258,2.0,6.0,-0.005751697075226486
aizynthfinder_only,jaccard_vs_historical,transfer_delta_top1,Q1,1259,0.375,0.8,-0.009531374106433678
aizynthfinder_only,jaccard_vs_historical,transfer_delta_top1,Q2,810,0.8333333333333334,0.9,0.0005555555555555558
aizynthfinder_only,jaccard_vs_historical,transfer_delta_top1,Q4,1745,1.0,1.0,-0.008911174785100288
aizynthfinder_only,jaccard_vs_historical,transfer_delta_mrr,Q1,1259,0.375,0.8,-0.005750438115410315
aizynthfinder_only,jaccard_vs_historical,transfer_delta_mrr,Q2,810,0.8333333333333334,0.9,-0.0014380511463844784
aizynthfinder_only,jaccard_vs_historical,transfer_delta_mrr,Q4,1745,1.0,1.0,-0.005366784918360849
aizynthfinder_only,shared_candidate_count,transfer_delta_top1,Q1,733,1.0,6.0,-0.01432469304229195
aizynthfinder_only,shared_candidate_count,transfer_delta_top1,Q2,1279,7.0,8.0,-0.0065676309616888185
aizynthfinder_only,shared_candidate_count,transfer_delta_top1,Q3,797,9.0,9.0,0.00037641154328732723
aizynthfinder_only,shared_candidate_count,transfer_delta_top1,Q4,1005,10.0,10.0,-0.00845771144278607
aizynthfinder_only,shared_candidate_count,transfer_delta_mrr,Q1,733,1.0,6.0,-0.008472519976612747
aizynthfinder_only,shared_candidate_count,transfer_delta_mrr,Q2,1279,7.0,8.0,-0.004135190563063901
aizynthfinder_only,shared_candidate_count,transfer_delta_mrr,Q3,797,9.0,9.0,-0.001452893788213738
aizynthfinder_only,shared_candidate_count,transfer_delta_mrr,Q4,1005,10.0,10.0,-0.005087005448945747
aizynthfinder_only,kendall_order_vs_historical,transfer_delta_top1,Q1,762,0.9999999999999998,0.9999999999999998,-0.0066929133858267716
aizynthfinder_only,kendall_order_vs_historical,transfer_delta_top1,Q2,1386,0.9999999999999999,0.9999999999999999,-0.011002886002886
aizynthfinder_only,kendall_order_vs_historical,transfer_delta_top1,Q4,1579,1.0,1.0,-0.004274857504749841
aizynthfinder_only,kendall_order_vs_historical,transfer_delta_mrr,Q1,762,0.9999999999999998,0.9999999999999998,-0.0035691371911844346
aizynthfinder_only,kendall_order_vs_historical,transfer_delta_mrr,Q2,1386,0.9999999999999999,0.9999999999999999,-0.006843649075791932
