reaction_id,canonical_product,pool,transfer_delta_top1,transfer_delta_mrr,candidate_count_shift_vs_historical,jaccard_vs_historical,shared_candidate_count,kendall_order_vs_historical,mean_pairwise_morgan_distance_shift_vs_historical,max_nonreference_similarity_shift_vs_historical
45033,COC(=O)CCC(=O)c1ccc(OC2CCCCO2)cc1O,aizynthfinder_only,0.0,0.0,1.0,0.9,9,1.0,-0.008019705132996435,0.0
45033,COC(=O)CCC(=O)c1ccc(OC2CCCCO2)cc1O,localretro_only,0.0,0.0,1.0,0.26666666666666666,4,1.0,0.03884827687182896,-0.01140350877192986
45033,COC(=O)CCC(=O)c1ccc(OC2CCCCO2)cc1O,merged,0.0,0.0,1.0,0.46153846153846156,6,0.4666666666666666,0.0017808797860144887,-0.01140350877192986
45034,COC(=O)c1cccc(-c2nc3cccnc3[nH]2)c1,aizynthfinder_only,0.0,0.0,1.0,0.9,9,1.0,0.008287747670282175,0.0
45034,COC(=O)c1cccc(-c2nc3cccnc3[nH]2)c1,localretro_only,0.0,0.0,1.0,0.26666666666666666,4,0.3333333333333334,-0.008936297792931813,0.0
45034,COC(=O)c1cccc(-c2nc3cccnc3[nH]2)c1,merged,0.0,0.0,1.0,0.46153846153846156,6,0.7333333333333333,-0.005125619506861634,0.0
45035,CON(C)C(=O)C1CCC(NC(=O)OC(C)(C)C)CC1,aizynthfinder_only,0.0,0.0,0.0,1.0,10,0.9999999999999999,0.0,0.0
45035,CON(C)C(=O)C1CCC(NC(=O)OC(C)(C)C)CC1,localretro_only,0.0,0.0,0.0,0.25,4,0.0,-0.06969152710700094,0.0
45035,CON(C)C(=O)C1CCC(NC(=O)OC(C)(C)C)CC1,merged,0.0,0.0,0.0,0.25,4,0.0,-0.06969152710700094,0.0
45036,O=[N+]([O-])c1ccc(Cl)nc1Nc1ccc(O)cc1,aizynthfinder_only,0.0,0.0,1.0,0.9,9,1.0,-0.005698921085326658,0.0
45036,O=[N+]([O-])c1ccc(Cl)nc1Nc1ccc(O)cc1,localretro_only,0.0,0.0,1.0,0.26666666666666666,4,1.0,-0.02020336459801475,0.15555555555555556
